k,num_removed_kmers,candidate_paper_title,candidate_dblp_id,citeseer_id,cluster_id,ratio,hashmap_build_time,match,average_query_time_phase1,average_query_time_phase2,average_query_time_total,levenshteinThreshold,ratioThreshold
7,5000,On The Closest String and Substring Problems,reference/algo/WangLM16,10.1.1.23.6637,15105,"(18, '-', 18)",98595.35273885727,Match,0.00359344482421875,0.0025463104248046875,0.006303071975708008,0.4,0.85
7,5000,On Exact Algorithms for Treewidth,reference/algo/Todinca16,10.1.1.61.3730,328176,"(13, '-', 8)",98595.35273885727,Match,0.0027573108673095703,0.0018508434295654297,0.0047376155853271484,0.4,0.85
7,5000,Greedy Set-Cover Algorithms,reference/algo/Young08,10.1.1.153.7623,9926196,"(16, '-', 5)",98595.35273885727,Match,0.0008351802825927734,0.0003254413604736328,0.0011975765228271484,0.4,0.85
7,5000,Generalized Vickrey Auctions,reference/algo/Yokoo16a,10.1.1.27.8133,59608,"(15, '-', 15)",98595.35273885727,Match,0.0013048648834228516,0.0006566047668457031,0.0020172595977783203,0.4,0.85
7,5000,Cache-Oblivious B-Trees,reference/algo/Fagerberg16,10.1.1.32.4093,286215,"(16, '-', 16)",98595.35273885727,Match,0.000637054443359375,0.00012683868408203125,0.0007796287536621094,0.4,0.85
7,5000,Competitive Auctions,reference/algo/Bu16a,10.1.1.2.7894,132806,"(10, '-', 10)",98595.35273885727,Match,0.003637552261352539,0.0016357898712158203,0.005394935607910156,0.4,0.85
7,5000,Truthful Mechanisms for One-Parameter Agents,reference/algo/Babaioff08,10.1.1.111.7678,5726156,"(26, '-', 26)",98595.35273885727,Match,0.003847360610961914,0.00258636474609375,0.006591796875,0.4,0.85
7,5000,Lower-Stretch Spanning Trees,reference/algo/Elkin16,10.1.1.100.2012,574415,"(15, '-', 15)",98595.35273885727,Match,0.0018875598907470703,0.0009052753448486328,0.002864360809326172,0.4,0.85
7,5000,Distributed Stable Marriage with Ties and Incomplete Lists 1,reference/algo/IwamaM16,10.1.1.119.6369,6369781,"(31, '-', 22)",98595.35273885727,Match,0.0047664642333984375,0.0026712417602539062,0.007605075836181641,0.4,0.85
7,5000,Sparse Graph Spanners,reference/algo/Elkin08a,10.1.1.104.7050,773642,"(13, '-', 8)",98595.35273885727,Match,0.0011370182037353516,0.0007359981536865234,0.0019345283508300781,0.4,0.85
7,5000,Energy-Optimal Distributed Algorithms for Minimum Spanning Trees,reference/algo/Rajsbaum16,10.1.1.163.5466,10455778,"(23, '-', 23)",98595.35273885727,Match,0.007284879684448242,0.0040471553802490234,0.01157236099243164,0.4,0.85
7,5000,Global Minimum Cuts in Surface Embedded Graphs,reference/algo/ChambersEFN16,10.1.1.220.9645,13793155,"(24, '-', 9)",98595.35273885727,Match,0.00398564338684082,0.002741098403930664,0.006907939910888672,0.4,0.85
7,5000,The Wake-Up Problem in Multi-Hop Radio Networks,reference/algo/JurdzinskiK16a,10.1.1.59.6610,504099,"(27, '-', 15)",98595.35273885727,Match,0.003353595733642578,0.001710653305053711,0.005175352096557617,0.4,0.85
7,5000,  Counting Triangles in Data Streams,reference/algo/Jha16,10.1.1.126.1765,453255,"(14, '-', 14)",98595.35273885727,Match,0.004986763000488281,0.003629922866821289,0.008842706680297852,0.4,0.85
7,5000,Geometric Spanners,reference/algo/GudmundssonNS08a,10.1.1.216.2467,14458148,"(8, '-', 8)",98595.35273885727,Match,0.0014140605926513672,0.0008237361907958984,0.0022966861724853516,0.4,0.85
7,5000,⊲ Learning Heavy Fourier Coefficients of Boolean,reference/algo/Trevisan08,10.1.1.423.3368,28210562,"(32, '-', 23)",98595.35273885727,Match,0.009355306625366211,0.004585742950439453,0.014224052429199219,0.4,0.85
7,5000,Kinetic Data Structures,reference/algo/Speckmann08,10.1.1.128.4064,7021835,"(11, '-', 11)",98595.35273885727,Match,0.004914760589599609,0.002412557601928711,0.00747990608215332,0.4,0.85
7,5000,Wait-Free Consensus,reference/algo/X08db,10.1.1.25.521,2182563,"(13, '-', 13)",98595.35273885727,Match,0.0018963813781738281,0.0008628368377685547,0.0028226375579833984,0.4,0.85
7,5000,⊲ Phylogenetic Tree Construction from a Distance Matrix,reference/algo/Jansson08b,10.1.1.423.5453,28222590,"(24, '-', 14)",98595.35273885727,Match,0.0042285919189453125,0.0023794174194335938,0.006766080856323242,0.4,0.85
7,5000,  Vertex Coloring,reference/algo/X08cv,10.1.1.359.7408,28257877,"(9, '-', 9)",98595.35273885727,Match,0.0013227462768554688,0.0006377696990966797,0.0020101070404052734,0.4,0.85
