k,num_removed_kmers,paper_limit,paper_title,paper_id,best_candidate_id,2nd_best_candidate_id,query_time,ratio,hashmap_build_time,average_success_rate,average_query_time
3,20,60000000000000000,"The Badalona Corpus - An Audio, Video and Neuro-Physiological Conversational Dataset.",conf/lrec/BlacheAJHKLMF22,conf/lrec/BlacheAJHKLMF22,journals/sensors/XueMJBFDR22,7.0020058155059814,"(71, '-', 32)",549.809070110321,Match,-
3,20,60000000000000000,Using Cloud-assisted Body Area Networks to Track People Physical Activity in Mobility.,conf/bodynets/FortinoGLM15,conf/bodynets/FortinoGLM15,conf/medinfo/HenriksenHHG17,11.1645987033844,"(77, '-', 43)",549.809070110321,95.74468085106383,9.496892183384997
3,50,60000000000000000,"Substad: For Fast Substitution in LISP, with an Application on Unification.",journals/ipl/Champeaux78,journals/ipl/Champeaux78,journals/logcom/DyckhoffU03,5.298243284225464,"(53, '-', 27)",549.809070110321,Match,-
3,50,60000000000000000,A Choice Free Theory of Dedekind Cardinals.,journals/jsyml/Ellentuck69,journals/jsyml/Ellentuck69,journals/sLogica/EckertH18,4.239120006561279,"(36, '-', 24)",549.809070110321,Match,-
3,50,60000000000000000,Learning Equilibrium Play: A Myopic Approach.,journals/coap/Flam99,journals/coap/Flam99,conf/globecom/NiyatoH07a,3.221034526824951,"(37, '-', 31)",549.809070110321,Match,-
3,50,60000000000000000,Stochastic modeling and availability optimization of condenser used in steam turbine power plants using GA and PSO.,journals/qre/SainiGSK22,journals/qre/SainiGSK22,journals/ress/JagtapBKAC20,9.560722827911377,"(84, '-', 44)",549.809070110321,Match,-
3,50,60000000000000000,Selected papers from the 15th and 16th international conference on Computational Intelligence Methods for Bioinformatics and Biostatistics.,journals/bmcbi/CazzanigaRBMSCR21,journals/bmcbi/CazzanigaRBMSCR21,journals/jbcb/KittichotiratEV16,12.649900436401367,"(106, '-', 61)",549.809070110321,Match,-
3,50,60000000000000000,Degree-based topological descriptors of type 3 rectangular hex-derived networks.,journals/bullica/DasR22,journals/bullica/DasR22,journals/jaihc/Pedrycz13,7.0718467235565186,"(64, '-', 33)",549.809070110321,Match,-
3,50,60000000000000000,Defection-free exchange mechanisms based on an entry fee imposition.,journals/ai/MatsubaraY02,journals/ai/MatsubaraY02,journals/scjapan/YamamotoT03,6.181903839111328,"(58, '-', 30)",549.809070110321,Match,-
3,50,60000000000000000,A Realization Algorithm Using Three-Input Majority Elements.,journals/tc/Riseman67,journals/tc/Riseman67,journals/access/TrojovskaDT22,5.935640811920166,"(50, '-', 38)",549.809070110321,Match,-
